rm,fc,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
1,Q,rm.1_fc.Q,0.678783829787234,0.704,0.211845641902008,0.155517924902488,0.608031346602882,0.207275285081426,0.3175,0.454514026186211,0.25,0.288675134594813,0.104166666666667,0.157747454050008,1272.65673920518,14.4129881555673,6.7128735658967e-05,9
2,Q,rm.2_fc.Q,0.669370638297872,0.705,0.207477126841654,0.143782496955936,0.603356574463617,0.19732288623548,0.2635,0.451789405217372,0.229166666666667,0.248839900932902,0.0833333333333333,0.166666666666667,1268.48173744167,10.2379863920623,0.000541375479535731,7
3,Q,rm.3_fc.Q,0.66440085106383,0.753,0.204474100354444,0.13853707669542,0.597694348027058,0.195480005352105,0.22375,0.520782984233036,0.270833333333333,0.248839900932902,0.104166666666667,0.157747454050008,1264.76375022672,6.51999917710486,0.00347415545103246,5
4,Q,rm.4_fc.Q,0.665276170212766,0.786,0.204784093193202,0.136407072879789,0.596838942879037,0.196561853562721,0.2255,0.488775681337223,0.270833333333333,0.248839900932902,0.104166666666667,0.157747454050008,1266.46650689678,8.2227558471709,0.00148286062770785,5
5,Q,rm.5_fc.Q,0.667213829787234,0.795,0.208267174879338,0.146485495561076,0.589611579991896,0.20031797870905,0.21775,0.486636328963084,0.291666666666667,0.2590938625858,0.104166666666667,0.208333333333333,1265.95274177625,7.70899072664201,0.00191718054192362,4
6,Q,rm.6_fc.Q,0.668162553191489,0.806,0.216633303213466,0.163221285025034,0.531206686674748,0.196747482876308,NA,NA,0.270833333333333,0.314576434802948,0.104166666666667,0.208333333333333,1268.21181173876,9.96806068914975,0.000619601132767181,4
7,Q,rm.7_fc.Q,0.665537872340425,0.834,0.249423368479618,0.177152495871259,0.512401653516037,0.217060776944432,NA,NA,0.270833333333333,0.314576434802948,0.125,0.25,1265.94589950709,7.70214845748023,0.00192375070687447,2
8,Q,rm.8_fc.Q,0.665349361702128,0.84,0.303214282646003,0.215588375252563,0.476201332333079,0.260428890278291,NA,NA,0.333333333333333,0.390867979985286,0.145833333333333,0.291666666666667,1268.14761644754,9.90386539793099,0.000639811487621499,2
9,Q,rm.9_fc.Q,0.662864680851064,0.809,0.286960048811876,0.202280161732832,0.468005986680657,0.249665486457092,NA,NA,0.333333333333333,0.390867979985286,0.145833333333333,0.291666666666667,1270.61995734391,12.3762062943026,0.000185861753050707,2
10,Q,rm.10_fc.Q,0.648647021276596,0.764,0.29222665243058,0.207337362482971,0.457616693989801,0.259753420520173,NA,NA,0.333333333333333,0.390867979985286,0.145833333333333,0.291666666666667,1273.38296813944,15.1392170898334,4.66884932184732e-05,2
1,LQ,rm.1_fc.LQ,0.697057021276596,0.695,0.175210692316457,0.195101776199606,0.632086793786186,0.202868978279881,0.39925,0.370024661340295,0.25,0.396746023807936,0.0208333333333333,0.0416666666666667,1268.22773983044,9.98398878082617,0.000614686198303966,9
2,LQ,rm.2_fc.LQ,0.690593617021277,0.744,0.195873001632888,0.160170972776191,0.642629259179534,0.204313832568718,0.40625,0.540129845500135,0.166666666666667,0.280541803843391,0.0208333333333333,0.0416666666666667,1261.16421238656,2.92046133694566,0.0210125595736645,6
3,LQ,rm.3_fc.LQ,0.685892340425532,0.777,0.188504805335528,0.125602386950869,0.648554241126572,0.187267683511551,0.4005,0.448941347319818,0.1875,0.266796843226369,0.0208333333333333,0.0416666666666667,1260.27179904076,2.0280479911462,0.0328294837611901,5
4,LQ,rm.4_fc.LQ,0.683417659574468,0.782,0.190904862641465,0.117212678518519,0.644090324158189,0.188219273869459,0.41375,0.401961337278434,0.208333333333333,0.2590938625858,0.0208333333333333,0.0416666666666667,1259.79278033047,1.54902928085653,0.0417139815646858,4
5,LQ,rm.5_fc.LQ,0.682083191489362,0.807,0.200888216631335,0.118277054142987,0.638089781998351,0.192805645464157,0.45125,0.363241310976601,0.208333333333333,0.2590938625858,0.0208333333333333,0.0416666666666667,1259.41533181798,1.17158076837154,0.0503783046028256,3
6,LQ,rm.6_fc.LQ,0.680905106382979,0.795,0.244586605216662,0.113809729629801,0.635065383193681,0.205429517455577,0.4615,0.318816038910634,0.1875,0.275336494466653,0.0416666666666667,0.0833333333333333,1261.5540969268,3.31034587718818,0.0172908604421421,3
7,LQ,rm.7_fc.LQ,0.680200425531915,0.819,0.196922677202196,0.163157432295701,0.547658012420507,0.185284362233437,NA,NA,0.1875,0.275336494466653,0.0833333333333333,0.166666666666667,1261.57885463001,3.33510358040326,0.0170781387878355,2
8,LQ,rm.8_fc.LQ,0.680426808510638,0.837,0.246764920081355,0.175306282936534,0.52531768724595,0.210765473744929,NA,NA,0.25,0.29658550700087,0.104166666666667,0.208333333333333,1264.13931034114,5.89555929152493,0.00474727778844752,2
9,LQ,rm.9_fc.LQ,0.680804680851064,0.844,0.286651727139977,0.201996274840116,0.471667357815786,0.246432940750629,NA,NA,0.333333333333333,0.390867979985286,0.145833333333333,0.291666666666667,1267.04936450456,8.80561345494448,0.00110798635679224,2
10,LQ,rm.10_fc.LQ,0.682181063829787,0.827,0.292330248722261,0.207440880679653,0.458061800815439,0.259295220088027,NA,NA,0.333333333333333,0.390867979985286,0.145833333333333,0.291666666666667,1270.45541704984,12.2116660002291,0.000201799227774465,2
1,H,rm.1_fc.H,0.786240425531915,0.844,0.201082747667223,0.260287404419166,0.598378210547255,0.223388546020217,0.58325,0.105310255910809,0.337121212121212,0.330885178771211,0.166666666666667,0.333333333333333,NA,NA,NA,116
2,H,rm.2_fc.H,0.732302978723404,0.865,0.178904611935619,0.192094656803232,0.613329515544488,0.183442530829858,0.4535,0.339883803674138,0.251893939393939,0.279063256068699,0.125,0.198373011903968,1580.21743721873,321.973686169115,1.0988830352294e-71,36
3,H,rm.3_fc.H,0.683282127659575,0.807,0.191377146521471,0.189270181718062,0.606023052955206,0.172077203449086,0.3545,0.370930811158451,0.251893939393939,0.261948547673785,0.104166666666667,0.208333333333333,1429.92856317523,171.684812125615,4.73986326069028e-39,30
4,H,rm.4_fc.H,0.679642978723404,0.838,0.119517319890701,0.203558425631414,0.543818602860739,0.132947843308896,NA,NA,0.210227272727273,0.25790049345441,0.104166666666667,0.208333333333333,1321.01827664863,62.7745255990226,2.11511528391585e-15,18
5,H,rm.5_fc.H,0.611159787234043,0.53,0.291917469847808,0.199188633410087,0.373109441492908,0.098689431669933,NA,NA,0.333333333333333,0.390867979985286,0.104166666666667,0.208333333333333,1278.9613195186,20.7175684689903,2.8700287491423e-06,5
6,H,rm.6_fc.H,0.5,NA,0.182677664067948,0.219212237947447,0.400147285348484,0.12001201117833,NA,NA,0.333333333333333,0.390867979985286,0.125,0.25,1271.23119558164,12.9874445320315,0.000136918247662707,0
