rm,fc,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
1,Q,rm.1_fc.Q,0.621634047619048,0.924,0.193500745445949,0.140613301441174,0.461135146695547,0.114526921061919,-0.004,0.426093104066862,0.338209654571211,0.253171276408507,0.0714285714285714,0.142857142857143,2288.98219732555,7.76252468983694,0.00701156211561216,8
2,Q,rm.2_fc.Q,0.620668333333333,0.933,0.191923778633965,0.141939857462283,0.450144573130747,0.0971520192087453,-0.0725,0.36014672935717,0.351585485452762,0.234041342365393,0.0833333333333333,0.166666666666667,2293.03485369846,11.8151810627487,0.000924254632315153,9
3,Q,rm.3_fc.Q,0.616129523809524,0.891,0.190251831311674,0.129725384360077,0.450926044065422,0.0886936321824427,-0.12525,0.331759325415278,0.310395554102648,0.237985363617014,0.0714285714285714,0.142857142857143,2292.73465303358,11.5149803978729,0.00107393842627916,8
4,Q,rm.4_fc.Q,0.60942369047619,0.877,0.177130334910137,0.127305667891814,0.459990176345954,0.0877208897480887,-0.14325,0.301035296933765,0.274463332243653,0.231030035015872,0.0714285714285714,0.142857142857143,2295.17502137019,13.9553487344824,0.000317000634010804,8
5,Q,rm.5_fc.Q,0.606194761904762,0.849,0.16306020336579,0.132051300250382,0.471213617387519,0.0903481444256598,-0.14825,0.300143715576389,0.262558570338891,0.237924418612885,0.0952380952380952,0.19047619047619,2291.8434659483,10.6237933125954,0.00167686538092426,6
6,Q,rm.6_fc.Q,0.601186309523809,0.832,0.151263060768239,0.138439015668326,0.477517859649769,0.0926582114222108,-0.233,0.291235300058218,0.226844284624605,0.234456000499215,0.107142857142857,0.214285714285714,2290.88440556242,9.66473292671571,0.0027086663684781,5
7,Q,rm.7_fc.Q,0.597284404761905,0.827,0.138776530470147,0.145481094414894,0.484460411504814,0.0969495434104053,-0.18,0.342123759284074,0.226844284624605,0.234456000499215,0.0952380952380952,0.19047619047619,2289.42489863254,8.20522599683227,0.00561931552482388,4
8,Q,rm.8_fc.Q,0.591872857142857,0.839,0.149950360696274,0.125394024800844,0.502711669497904,0.115618070860237,-0.10225,0.528118279049937,0.215974719407214,0.241322780278717,0.0833333333333333,0.166666666666667,2288.01877995551,6.79910731980544,0.0113505840671671,3
9,Q,rm.9_fc.Q,0.584264523809524,0.805,0.187975664453586,0.118804078431467,0.537471200814217,0.163528122132001,-0.03175,0.645305289507739,0.204069957502452,0.253274953769017,0.0833333333333333,0.166666666666667,2288.93012640763,7.7104537719224,0.00719650848818063,3
10,Q,rm.10_fc.Q,0.579035,0.722,0.187335966361077,0.122998949864759,0.55104060379782,0.170252999497394,0.02,0.662694499750828,0.180260433692928,0.207584728395635,0.0833333333333333,0.166666666666667,2285.42816433222,4.20849169650819,0.0414536946998604,1
1,LQ,rm.1_fc.LQ,0.672404761904762,0.948,0.212768462871498,0.109991446111094,0.494006486205869,0.137797250910861,0.221,0.473234966304618,0.277432712215321,0.298117475037339,0.0476190476190476,0.0952380952380952,2287.05576606267,5.83609342696536,0.018371051702661,13
2,LQ,rm.2_fc.LQ,0.648472380952381,0.879,0.213184345316199,0.123381801047192,0.475828132150916,0.129214832501514,0.11975,0.319601183769189,0.288302277432712,0.24729070026945,0.0714285714285714,0.142857142857143,2287.9883960218,6.76872338609428,0.0115243382562484,10
3,LQ,rm.3_fc.LQ,0.644491428571429,0.887,0.208316134863867,0.140378833590046,0.463031244351198,0.122045959952503,0.0455,0.369623682502443,0.348044023101231,0.239527339824691,0.0595238095238095,0.119047619047619,2291.56070517367,10.3410325379618,0.00193151871644797,10
4,LQ,rm.4_fc.LQ,0.634990238095238,0.893,0.18956587648245,0.152075061223329,0.460582149406731,0.106897548248087,0.03725,0.438550928247412,0.312329737386946,0.26155602230735,0.0595238095238095,0.119047619047619,2292.75812191111,11.5384492754033,0.00106141001229193,9
5,LQ,rm.5_fc.LQ,0.630473809523809,0.887,0.188302815825099,0.138061629591408,0.459839434612945,0.0932174904086347,-0.03525,0.412793229111137,0.234172387490465,0.268433581109167,0.0595238095238095,0.119047619047619,2292.15888113252,10.9392084968063,0.00143220986814206,8
6,LQ,rm.6_fc.LQ,0.625006666666667,0.874,0.169844851307385,0.139963624482892,0.47248600504255,0.0927630379529695,0.0345,0.353033048500184,0.225591151792525,0.264584971984748,0.0714285714285714,0.142857142857143,2294.23292945581,13.0132568200966,0.000507729959828861,8
7,LQ,rm.7_fc.LQ,0.619365952380952,0.881,0.154141156460043,0.144206693387122,0.482889350064451,0.0950692365121879,-0.0175,0.363219401097096,0.250653808434129,0.281274878512742,0.0714285714285714,0.142857142857143,2290.95371959282,9.73404695711133,0.00261640014784713,6
8,LQ,rm.8_fc.LQ,0.617300238095238,0.877,0.140812817033135,0.152291727155074,0.496337257373657,0.109802831771676,-0.072,0.397736093408682,0.250653808434129,0.246931099121185,0.0714285714285714,0.142857142857143,2291.90142036512,10.6817477294153,0.00162897176615747,6
9,LQ,rm.9_fc.LQ,0.613415714285714,0.883,0.188198310389169,0.130328228262239,0.53103764741918,0.157489083523822,-0.09075,0.351031218934537,0.227879481311976,0.231211922712205,0.0595238095238095,0.119047619047619,2290.61758907,9.39791643428816,0.00309523751597095,5
10,LQ,rm.10_fc.LQ,0.607318095238095,0.87,0.184207474058355,0.130420137843334,0.539335762169553,0.157729180360191,-0.0515,0.436755843311417,0.215974719407214,0.207652417051064,0.0714285714285714,0.142857142857143,2289.29412883682,8.07445620110866,0.00599901183569761,4
1,H,rm.1_fc.H,0.751707857142857,0.972,0.223128244090497,0.09859225324362,0.543336492838248,0.070682558162462,0.3475,0.278907989607087,0.34722676255857,0.190976767142786,0.107578729432276,0.0602710262407945,4842.03210089334,2560.81242825763,0,78
2,H,rm.2_fc.H,0.72042619047619,0.911,0.224813349072809,0.151363607153641,0.496303082242564,0.121598354057719,0.107,0.461814537088934,0.2851966873706,0.254315192335552,0.103002070393375,0.121788591521281,2472.58140994712,191.361737311412,9.50062823313997e-43,47
3,H,rm.3_fc.H,0.686050714285714,0.76,0.181034673550329,0.163461147411428,0.493698625943968,0.133529932157048,0.01425,0.512001546221624,0.248447204968944,0.270776005248375,0.0476190476190476,0.0952380952380952,2402.60425748108,121.384584845375,1.48969689239147e-27,36
4,H,rm.4_fc.H,0.611829047619048,0.872,0.192504292294243,0.133398918308191,0.526772980081051,0.173879012918387,0.03225,0.672799809254828,0.260351966873706,0.302817592194474,0.0595238095238095,0.119047619047619,2364.53179834562,83.3121257099124,2.75694034764399e-19,27
5,H,rm.5_fc.H,0.572903452380952,0.194,0.162042945763674,0.118706225819588,0.508593804433509,0.148848436479087,NA,NA,0.248447204968944,0.292255661019095,0.0714285714285714,0.142857142857143,2294.03862783524,12.8189551995288,0.000559531900037696,3
6,H,rm.6_fc.H,0.572903333333333,0.196,0.10823481007533,0.126904966083877,0.47185680603756,0.0844641661612864,NA,NA,0.149585921325052,0.18518450648356,0.0476190476190476,0.0952380952380952,2293.56255523968,12.3428826039712,0.000709909032909976,2
7,H,rm.7_fc.H,0.5,NA,0.0526678140030087,0.0782306613356421,0.514940262115632,0.0634984135078872,NA,NA,0.116977225672878,0.180694463964046,0.0476190476190476,0.0952380952380952,2290.70397216763,9.48429953191771,0.00296439539070103,0
8,H,rm.8_fc.H,0.5,NA,0,0,0.5,0,NA,NA,0,0,0,0,2290.70397216763,9.48429953191771,0.00296439539070103,0
